dataset,type,function,run,time,size
A,bin,read,34,11,122
A,xml,write,34,8,316
A,xml,read,34,15,316
A,xml.gz,write,34,22,57
A,xml.gz,read,34,19,57
A,bin,write,35,6,122
A,bin,read,35,11,122
A,xml,write,35,8,316
A,xml,read,35,15,316
A,xml.gz,write,35,16,57
A,xml.gz,read,35,18,57
A,bin,write,36,6,122
A,bin,read,36,10,122
A,xml,write,36,9,316
A,xml,read,36,14,316
A,xml.gz,write,36,16,57
A,xml.gz,read,36,19,57
A,bin,write,37,6,122
A,bin,read,37,9,122
A,xml,write,37,8,316
A,xml,read,37,15,316
A,xml.gz,write,37,16,57
A,xml.gz,read,37,20,57
A,bin,write,38,7,122
A,bin,read,38,10,122
A,xml,write,38,9,316
A,xml,read,38,15,316
A,xml.gz,write,38,16,57
A,xml.gz,read,38,18,57
A,bin,write,39,6,122
A,bin,read,39,9,122
A,xml,write,39,9,316
A,xml,read,39,14,316
A,xml.gz,write,39,16,57
A,xml.gz,read,39,18,57
A,bin,write,40,5,122
A,bin,read,40,9,122
A,xml,write,40,8,316
A,xml,read,40,15,316
A,xml.gz,write,40,16,57
A,xml.gz,read,40,19,57
A,bin,write,41,9,122
A,bin,read,41,9,122
A,xml,write,41,10,316
A,xml,read,41,14,316
A,xml.gz,write,41,17,57
A,xml.gz,read,41,18,57
A,bin,write,42,6,122
A,bin,read,42,8,122
A,xml,write,42,9,316
A,xml,read,42,14,316
A,xml.gz,write,42,24,57
A,xml.gz,read,42,18,57
A,bin,write,43,6,122
A,bin,read,43,8,122
A,xml,write,43,9,316
A,xml,read,43,14,316
A,xml.gz,write,43,19,57
A,xml.gz,read,43,21,57
A,bin,write,44,6,122
A,bin,read,44,9,122
A,xml,write,44,8,316
A,xml,read,44,15,316
A,xml.gz,write,44,15,57
A,xml.gz,read,44,18,57
A,bin,write,45,5,122
A,bin,read,45,8,122
A,xml,write,45,8,316
A,xml,read,45,14,316
A,xml.gz,write,45,16,57
A,xml.gz,read,45,16,57
A,bin,write,46,6,122
A,bin,read,46,8,122
A,xml,write,46,8,316
A,xml,read,46,12,316
A,xml.gz,write,46,17,57
A,xml.gz,read,46,17,57
A,bin,write,47,5,122
A,bin,read,47,11,122
A,xml,write,47,9,316
A,xml,read,47,12,316
A,xml.gz,write,47,17,57
A,xml.gz,read,47,16,57
A,bin,write,48,5,122
A,bin,read,48,9,122
A,xml,write,48,9,316
A,xml,read,48,14,316
A,xml.gz,write,48,17,57
A,xml.gz,read,48,16,57
A,bin,write,49,5,122
A,bin,read,49,8,122
A,xml,write,49,9,316
A,xml,read,49,12,316
A,xml.gz,write,49,17,57
A,xml.gz,read,49,16,57
A,bin,write,50,4,122
A,bin,read,50,8,122
A,xml,write,50,11,316
A,xml,read,50,12,316
A,xml.gz,write,50,16,57
A,xml.gz,read,50,16,57
A,bin,write,51,4,122
A,bin,read,51,8,122
A,xml,write,51,9,316
A,xml,read,51,12,316
A,xml.gz,write,51,16,57
A,xml.gz,read,51,15,57
A,bin,write,52,4,122
A,bin,read,52,17,122
A,xml,write,52,8,316
A,xml,read,52,13,316
A,xml.gz,write,52,15,57
A,xml.gz,read,52,17,57
A,bin,write,53,5,122
A,bin,read,53,10,122
A,xml,write,53,8,316
A,xml,read,53,12,316
A,xml.gz,write,53,16,57
A,xml.gz,read,53,16,57
A,bin,write,54,5,122
A,bin,read,54,8,122
A,xml,write,54,8,316
A,xml,read,54,12,316
A,xml.gz,write,54,16,57
A,xml.gz,read,54,16,57
A,bin,write,55,4,122
A,bin,read,55,8,122
A,xml,write,55,9,316
A,xml,read,55,11,316
A,xml.gz,write,55,16,57
A,xml.gz,read,55,16,57
A,bin,write,56,5,122
A,bin,read,56,8,122
A,xml,write,56,10,316
A,xml,read,56,15,316
A,xml.gz,write,56,16,57
A,xml.gz,read,56,16,57
A,bin,write,57,5,122
A,bin,read,57,8,122
A,xml,write,57,8,316
A,xml,read,57,12,316
A,xml.gz,write,57,16,57
A,xml.gz,read,57,15,57
A,bin,write,58,5,122
A,bin,read,58,8,122
A,xml,write,58,8,316
A,xml,read,58,12,316
A,xml.gz,write,58,15,57
A,xml.gz,read,58,16,57
A,bin,write,59,5,122
A,bin,read,59,8,122
A,xml,write,59,8,316
A,xml,read,59,11,316
A,xml.gz,write,59,15,57
A,xml.gz,read,59,16,57
A,bin,write,60,6,122
A,bin,read,60,9,122
